19;7
ARROSTO;Tutto fumo e niente ___!
SIBERIA;Vasta regione della Russia con inverni freddissimi
AVIARIA;Influenza trasmissibile dai volatili agli umani
GONDOLA;Imbarcazione tipica veneziana
ALADINO;Viaggiava su un tappeto volante
FUSILLI;Tipo di pasta a forma di molla
AZZURRO;Il pomeriggio di Celentano
GIRAFFA;Mammifero maculato dal collo molto lungo
COLOMBO;Il tenente con l'impermeabile
INSIEME;Tutti ___ appassionatamente, celebre film
ZERBINO;Tappeto o stuoia di fronte all'ingresso
OLFATTO;Il senso che permette di avvertire gli odori
VIRGOLA;Segno d'interpunzione che indica una pausa breve
AMARENA;Frutto simile alla ciliegia
PANDORA;Aprì un vaso proibito
DECOLLO;La partenza di un aereo
GUEVARA;L'Ernesto rivoluzionario argentino noto come Che
FOSFORO;Elemento che favorisce la memoria
OPERAIO;Il lavoratore detto anche "tuta blu"
