21;6
ATLETA;Chi pratica uno sport
FRIZZI;Fabrizio ___, compianto conduttore televisivo
POLIPI;Formazione anomale... coi tentacoli!
SPILLO;Lo usano i sarti per puntare un orlo
TIMONE;Il volante della nave
SCARSO;Non è abbondante e nemmeno eccellente
MOJITO;Cocktail con rum, menta, lime e zucchero di canna
SUDOKU;Gioco di logica che prevede una griglia numerica
SAETTE;Citate con i fulmini
HOLMES;Lo Sherlock di Baker Street
PICCHE;Un seme delle carte che evoca un rifiuto
MONACO;Un principato... o un religioso!
STEPPA;Citata con la tundra e la taiga
TETRIS;Storico videogame anni 80 con tetramini a incastro
REGINA;Sovrana o ape
DOCCIA;Ha un piatto, e un box o una tenda
SAVOIA;Regnarono in Italia fino al 1946
STERNO;Osso piatto del torace
TURNER;La Tina di "Simply the Best"
TEPORE;Lieve e piacevole sensazione di calore
